| Item | Cost | Qty (based on source) | Source |
| Resistor 330R | 1.25 (20pcs) | 3-4 | [SparkFun](https://www.sparkfun.com/resistor-330-ohm-1-4-watt-pth-20-pack-thick-leads.html) |
| Resistor 10k | 2.90 (50pcs) | 1 | [eBay](https://www.ebay.com/itm/168259303119?chn=ps&norover=1&mkevt=1&mkrid=711-166974-028196-7&mkcid=2&mkscid=101&itemid=168259303119&targetid=2304343365564&device=c&mktype=pla&googleloc=9004379&poi=&campaignid=21751588072&mkgroupid=165847463017&rlsatarget=pla-2304343365564&abcId=10040061&merchantid=101499652&geoid=9004379&gad_source=4&gad_campaignid=21751588072&gbraid=0AAAAAD_QDh9lekSfsd5_rMCROyQb4rMfW&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefHXdbDlHWG6QQ7amLyVP5JJYK2CdgK1BoN384FLzIseL7K9cqnzly4aAniYEALw_wcB) |
| 0.1uF Ceramic Capacitors | 3.00 (10pcs) | 1 | [eBay](https://www.ebay.com/itm/168264960241?chn=ps&norover=1&mkevt=1&mkrid=711-166974-028196-7&mkcid=2&mkscid=101&itemid=168264960241&targetid=2276391439863&device=c&mktype=pla&googleloc=9004379&poi=&campaignid=21751588072&mkgroupid=165847462977&rlsatarget=pla-2276391439863&abcId=10040061&merchantid=101499652&geoid=9004379&gad_source=4&gad_campaignid=21751588072&gbraid=0AAAAAD_QDh9lekSfsd5_rMCROyQb4rMfW&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefER5KrXZv78ndZhGNhV9uqJk1WrA0oxsa913_LTPYAfeU3A9CG-CBwaAsuPEALw_wcB) |
| M2 Assortment | 7.56 (1300pcs) | 1 | [AliExpress](https://www.aliexpress.us/item/3256804044308282.html?spm=a2g0o.productlist.main.2.40f4uIpuuIpuok&algo_pvid=42348166-9de3-44cd-992a-fd2a7ea46d34&algo_exp_id=42348166-9de3-44cd-992a-fd2a7ea46d34-1&pdp_ext_f=%7B%22order%22%3A%22201%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.72%210.99%21%21%215.72%210.99%21%402101f54117792447469237828e1405%2112000046411442824%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9ae8be17%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=8plwvHXdJxg2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004230623034%7C_p_origin_prod%3A&_gl=1*11nk17i*_gcl_au*MTgyMTc0MDgwNy4xNzc5MjQ0NzQ5*_ga*MjA1NzU4OTY5NjA4NjE2NC4xNzc5MjQ0Njk3NDEz*_ga_VED1YSGNC7*czE3NzkyNDQ3NDkkbzEkZzAkdDE3NzkyNDQ3NDkkajYwJGwwJGgw) |
| M3 Assortment | 0.99 (650pcs) | 1 | [AliExpress](https://www.aliexpress.us/item/3256804044308282.html?spm=a2g0o.productlist.main.2.40f4uIpuuIpuok&algo_pvid=42348166-9de3-44cd-992a-fd2a7ea46d34&algo_exp_id=42348166-9de3-44cd-992a-fd2a7ea46d34-1&pdp_ext_f=%7B%22order%22%3A%22201%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.72%210.99%21%21%215.72%210.99%21%402101f54117792447469237828e1405%2112000046411442824%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9ae8be17%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=8plwvHXdJxg2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004230623034%7C_p_origin_prod%3A&_gl=1*11nk17i*_gcl_au*MTgyMTc0MDgwNy4xNzc5MjQ0NzQ5*_ga*MjA1NzU4OTY5NjA4NjE2NC4xNzc5MjQ0Njk3NDEz*_ga_VED1YSGNC7*czE3NzkyNDQ3NDkkbzEkZzAkdDE3NzkyNDQ3NDkkajYwJGwwJGgw) |
| 26 AWG Stranded Silicone Wire | 0.99 (10m) | 1 | [AliExpress](https://www.aliexpress.us/item/3256805664189861.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256805664189861&ds_e_product_merchant_id=107713008&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hH0fRtl2UD553EGPNv3gWl34&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGhPUdqsLd9m_e7p0XBXLZmZ_1lWE4J2MQwNyxfR1BoyLNzGEm0BoEaAlQ3EALw_wcB&gatewayAdapt=glo2usa) |
| Precision Screwdriver Set | 12.53 | 1 | [AliExpress](https://www.aliexpress.us/item/3256810624058507.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256810624058507&ds_e_product_merchant_id=5657930928&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19419176312&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19419169321&gbraid=0AAAAAD6I-hFcMECA05yMxKmkhUksJRjvr&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefFlKSX6Bcnnc1gW6dwklurIw5SrsaCJkqy4-kxfyY5NbKCgix4tZPAaAk7IEALw_wcB&gatewayAdapt=glo2usa) |
| DMM | 2.59 | 1 | [AliExpress](https://www.aliexpress.us/item/3256804889475426.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256804889475426&ds_e_product_merchant_id=646018438&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19419176312&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19419169321&gbraid=0AAAAAD6I-hFcMECA05yMxKmkhUksJRjvr&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGE5dC_1vRxYsQSCHqhE81ZRlKgeV_ByRwLqulF1vOhUFgcMiKcFIoaAn3_EALw_wcB&gatewayAdapt=glo2usa) |
| Power Switch | 7.99 (10pcs) | 1 | [Nilight](https://www.nilight.com/products/10pcs-mini-on-off-rocker-switch-2-pin-spst-12v-20a-125v-10a-toggle-switch-kit-with-20pcs-wires-kcd1-t125-for-car-truck-boat-marine-off-road-rv-household-appliance?variant=51436279988440&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqHYlFUgY8olRYN8dbtt-6uULnXmtNCHhRh1agE-90f1p79uOZBFA4) |
| Double Sided PCB Board | 0.99 (2pcs) | 1 | [eBay](https://www.ebay.com/itm/201415063900?chn=ps&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOooC8k9Q4hLDtQGp_uk7dBZo70BzT6otIr432lYxXfjUc1FxvYzw-jY) |
| JST Connector | 15.17 (560pcs) | 1 | [eBay](https://www.ebay.com/itm/236559642302?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOor8jF8yN6CqcZjmF8jozmoPVzg15obITzix2T5mdSuZO0C-BhbedQw) |
| Buzzer | 5.64 | 1 | [eBay](https://www.ebay.com/itm/405118172245?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOooPQi1BZtK6jqUw54yxUxwilBsLa3WkQx6OLf3PH8bJ-6JTyb5SEco) |
| Push Button | 5.69 (25pcs) | 1 | [eBay](https://www.ebay.com/itm/406160589876?chn=ps&_trkparms=ispr%3D1&amdata=enc%3A1CNVe4cKDSru02DdPTjx20g40&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=406160589876&targetid=2321110924501&device=c&mktype=pla&googleloc=9004379&poi=&campaignid=21399214465&mkgroupid=173029507868&rlsatarget=pla-2321110924501&abcId=9447223&merchantid=5438957215&gad_source=1&gad_campaignid=21399214465&gbraid=0AAAAAD_QDh-w9ghSYcr-7lyH2miXWSZa7&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGBXRCiNEtIMbZu7_Ix1qITm0eRninMmh32DUhxThvmWA3C6vTI-LsaAtYVEALw_wcB) |
| JST Crimper | 7.86 | 1 | [AliExpress](https://www.aliexpress.us/item/3256809419112769.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256809419112769&ds_e_product_merchant_id=5571055275&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19419176312&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19419169321&gbraid=0AAAAAD6I-hFcMECA05yMxKmkhUksJRjvr&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefFwXYpWsxY2aiNM0Ck4qZP8EpQLy6GhoXNJ5kKt__0TiuPtdFaRUQYaAl_nEALw_wcB&gatewayAdapt=glo2usa) |
